id,predicted_price
2591820310,479004.34
7974200820,897609.9
7701450110,966933.75
9522300010,1.3374174e+06
9510861140,764358.94
1761300310,350848.03
7732410120,636058.9
7010701383,595594.25
291310170,422637.8
4232901990,546058.8
6840701125,730160.25
3971700580,339028.97
4202400078,417739.6
6064800090,420487.88
2626119028,282861.94
3303980660,1.1746885e+06
862000020,478702.7
2386000070,1.0136804e+06
1138000450,305359.75
1775800420,398315.25
2291401425,317484.16
2025770560,1.698564e+06
3525069037,612147.2
9324800450,645967.25
8080400136,470232.9
8651540040,457500.8
9407001790,274820.4
1773101530,183648.95
9432900250,419050.38
1794500695,489975.88
2220069003,404159.03
923000120,446918.06
5728000060,436782.53
16000200,367013.6
1926059094,597080.8
6672900220,960206.56
3629860060,943541.5
1822069109,481980.78
6675500105,363457.75
249000180,1.4557288e+06
226059065,429919.72
396100110,284183.22
9264450460,488597.16
7853361210,489488.8
9474700020,231821.52
421000455,227737.3
3755200220,318585.94
7960100075,516049.22
9477100490,297968.34
9138100350,726997.06
1624049275,330583.78
2770606890,320875.0
1157200189,544035.5
2770601800,449960.88
9301300805,421118.3
2325069032,1.4940386e+06
1021079099,384559.97
7215730040,681599.44
1853200080,508429.53
3224600340,571488.0
3222049120,543630.2
2113700025,439904.0
7893207925,254821.14
3586501085,505396.7
8024200010,385233.47
7116500705,296914.62
1598600209,443704.1
7204200025,1.2239824e+06
4206901505,508870.97
2937300440,817024.2
7205000180,503079.72
8718500665,387698.44
5318101765,691379.9
4122700020,818104.1
8078700020,511283.72
3303980680,953052.0
8924100372,1.0608135e+06
2781270210,285142.06
519000043,453884.75
3225069301,1.9743351e+06
151000075,689206.4
2297400020,383975.28
6617500085,700680.4
104510180,331724.94
3528900060,891522.4
3345100286,465846.7
1226039130,431670.25
8712100720,739848.0
3037200010,300201.3
3626039268,379025.78
104510230,336808.94
5112800060,452430.16
6072400280,628371.0
5317100570,617761.7
9528102993,580005.44
2919201095,443564.2
6181400920,302387.1
185000161,312658.5
8691400010,849088.44
3345700165,473377.75
6151800486,248273.48
4340000080,887634.3
4136960010,1.1137212e+06
3634100030,478822.7
1624059224,1.0389978e+06
2788400090,322632.1
9828200762,436157.75
7524400250,531202.06
3528000290,681441.56
5700003630,2.2638762e+06
2720069019,351751.75
7227501170,210451.69
2397101270,484757.56
6792100090,582057.2
2770602265,483851.5
3971700937,267634.8
422049203,287265.4
3076500830,364014.94
1423400260,344326.9
9161100795,404631.88
3126049052,548057.94
5100401468,394420.22
514500235,309428.9
1423200170,226899.45
1402100070,590229.1
624110020,903348.0
2407000145,266108.0
1890000225,730999.7
1320069271,453890.84
5490700085,335457.78
263000155,370149.28
3726800201,521308.44
5153200358,416431.06
2725079018,733359.3
7165700200,348696.56
9429000170,457590.3
8718500075,341234.12
1760650950,346095.44
1068000559,911519.06
4113800500,603017.44
4077800507,486270.53
2725069150,718200.06
4008400035,736180.75
7016310270,397959.16
1432701230,274888.25
3278606050,395961.53
2473350710,597047.44
2185000685,198948.17
7792000025,476824.6
6868200029,438982.06
624069003,678136.44
7431500280,796619.25
3296000040,529019.94
1118001215,1.0387689e+06
6453900040,783274.1
333100209,621451.2
34001765,706401.2
8946700100,573976.0
5561401210,744471.4
6671900095,355881.25
3275850020,577766.7
3876300600,366193.47
1450900020,303626.5
8562780280,329056.12
7663700973,368748.34
2126049032,305209.62
1823059159,192806.23
3438503426,322257.7
9297301495,545870.75
7140700850,502081.47
7942601805,736803.0
2555900030,336964.06
2887970040,436318.56
7419700010,443536.03
2239000011,309650.28
9283800050,470060.53
9407001340,303032.97
217500140,439462.5
7212660520,354891.56
3298201170,246627.69
3057000400,281166.75
6865200444,423478.72
6071600340,454054.47
6821600005,659478.7
1235100371,561305.1
7796450340,478986.38
3603000410,281379.22
9297300255,613110.0
9126100850,484822.38
2770601462,431454.06
2599001500,296678.16
1102000095,781519.8
1853080640,1.0540706e+06
9551201585,881993.94
3438500796,307792.62
7518504291,523362.72
9269200340,515418.84
715010130,1.7806404e+06
1982201485,555886.44
9526500080,457717.84
9277200180,369541.62
6669150280,392740.53
8917100153,485830.25
3760500516,1.316907e+06
2725069050,1.0753406e+06
3332000091,333716.53
8562770080,665918.9
8151601190,298088.7
8563040160,469752.1
240000269,1.6594684e+06
4307350200,351032.3
1311910300,480531.22
3574900030,437198.56
7853230570,359209.6
320069049,345194.2
